Cycle,Capacity
80,4.8688075
87,4.8576145
95,4.8448225
102,4.8336295
109,4.8224365
116,4.8112435
124,4.7984515
131,4.7872585
138,4.7760655
145,4.7648725
153,4.7520805
160,4.7408875
167,4.73481040625
175,4.72786515625
182,4.7217880625
189,4.71571096875
196,4.709633875
204,4.702688625
211,4.69661153125
218,4.6905344375
225,4.68445734375
233,4.67751209375
240,4.671435
249,4.66694355
258,4.6624521
267,4.65796065
276,4.6534692
285,4.64897775
295,4.64398725
304,4.6394958
313,4.63500435
322,4.6305129
331,4.62602145
340,4.62153
349,4.617719175
358,4.61390835
367,4.610097525
376,4.6062867
385,4.602475875
395,4.598241625
404,4.5944308
413,4.590619975
422,4.58680915
431,4.582998325
440,4.5791875
449,4.5754201
458,4.5716527
467,4.5678853
476,4.5641179
485,4.5603505
495,4.5561645
504,4.5523971
513,4.5486297
522,4.5448623
531,4.5410949
540,4.5373275
549,4.53406995
558,4.5308124
567,4.52755485
576,4.5242973
585,4.52103975
595,4.51742025
604,4.5141627
613,4.51090515
622,4.5076476
631,4.50439005
640,4.5011325
649,4.497728475
658,4.49432445
667,4.490920425
676,4.4875164
685,4.484112375
695,4.480330125
704,4.4769261
713,4.473522075
722,4.47011805
731,4.466714025
740,4.46331
749,4.45813905
758,4.4529681
767,4.44779715
776,4.4426262
785,4.43745525
795,4.43170975
804,4.4265388
813,4.42136785
822,4.4161969
831,4.41102595
840,4.405855
849,4.405995175
858,4.40613535
867,4.406275525
876,4.4064157
885,4.406555875
895,4.406711625
904,4.4068518
913,4.406991975
922,4.40713215
931,4.407272325
940,4.4074125
949,4.400666325
958,4.39392015
967,4.387173975
976,4.3804278
985,4.373681625
995,4.366185875
1004,4.3594397
1013,4.352693525
1022,4.34594735
1031,4.339201175
1040,4.332455
1049,4.33057985
1058,4.3287047
1067,4.32682955
1076,4.3249544
1085,4.32307925
1095,4.32099575
1104,4.3191206
1113,4.31724545
1122,4.3153703
1131,4.31349515
1140,4.31162
1149,4.3087184
1158,4.3058168
1167,4.3029152
1176,4.3000136
1185,4.297112
1195,4.293888
1204,4.2909864
1213,4.2880848
1222,4.2851832
1231,4.2822816
1240,4.27938
1249,4.2764118
1258,4.2734436
1267,4.2704754
1276,4.2675072
1285,4.264539
1295,4.261241
1304,4.2582728
1313,4.2553046
1322,4.2523364
1331,4.2493682
1340,4.2464
1349,4.243047275
1358,4.23969455
1367,4.236341825
1376,4.2329891
1385,4.229636375
1395,4.225911125
1404,4.2225584
1413,4.219205675
1422,4.21585295
1431,4.212500225
1440,4.2091475
1449,4.207550225
1458,4.20595295
1467,4.204355675
1476,4.2027584
1485,4.201161125
1495,4.199386375
1504,4.1977891
1513,4.196191825
1522,4.19459455
1531,4.192997275
1540,4.1914
1549,4.1898034
1558,4.1882068
1567,4.1866102
1576,4.1850136
1585,4.183417
1595,4.181643
1604,4.1800464
1613,4.1784498
1622,4.1768532
1631,4.1752566
1640,4.17366
1649,4.1841126
1658,4.1945652
1667,4.2050178
1676,4.2154704
1685,4.225923
1695,4.237537
1704,4.2479896
1713,4.2584422
1722,4.2688948
1731,4.2793474
1740,4.2898
1749,4.30024495
1758,4.3106899
1767,4.32113485
1776,4.3315798
1785,4.34202475
1795,4.35363025
1804,4.3640752
1813,4.37452015
1822,4.3849651
1831,4.39541005
1840,4.405855
1858,4.382038975
1876,4.35822295
1895,4.3330838125
1913,4.3092677875
1931,4.2854517625
1949,4.2616357375
1967,4.2378197125
1985,4.2140036875
2004,4.18886455
2022,4.165048525
2040,4.1412325
2049,4.139204575
2058,4.13717665
2067,4.135148725
2076,4.1331208
2085,4.131092875
2095,4.128839625
2104,4.1268117
2113,4.124783775
2122,4.12275585
2131,4.120727925
2140,4.1187
2149,4.1166786
2158,4.1146572
2167,4.1126358
2176,4.1106144
2185,4.108593
2195,4.106347
2204,4.1043256
2213,4.1023042
2222,4.1002828
2231,4.0982614
2240,4.09624
