Cycle,Capacity
40,4.8700125
44,4.84829875
47,4.832013438
51,4.810299688
55,4.788585938
58,4.772300625
62,4.750586875
65,4.734301563
69,4.712587813
73,4.690874063
76,4.67458875
80,4.652875
84,4.55303775
87,4.478159813
91,4.378322563
95,4.278485313
98,4.203607375
102,4.103770125
105,4.028892188
109,3.929054938
113,3.829217688
116,3.75433975
120,3.6545025
124,3.58563125
127,3.533977813
131,3.465106563
135,3.396235313
138,3.344581875
142,3.275710625
145,3.224057188
149,3.155185938
153,3.086314688
156,3.03466125
160,2.96579
