Cycle,Capacity
40,4.869785
44,4.860376
47,4.85331925
51,4.84391025
55,4.83450125
58,4.8274445
62,4.8180355
65,4.81097875
69,4.80156975
73,4.79216075
76,4.785104
80,4.775695
84,4.76580625
87,4.7583896875
91,4.7485009375
95,4.7386121875
98,4.731195625
102,4.721306875
105,4.7138903125
109,4.7040015625
113,4.6941128125
116,4.68669625
120,4.6768075
124,4.66373875
127,4.6539371875
131,4.6408684375
135,4.6277996875
138,4.617998125
142,4.604929375
145,4.5951278125
149,4.5820590625
153,4.5689903125
156,4.55918875
160,4.54612
164,4.522858
167,4.5054115
171,4.4821495
175,4.4588875
178,4.441441
182,4.418179
185,4.4007325
189,4.3774705
193,4.3542085
196,4.336762
200,4.3135
203,4.2829165
206,4.252333
210,4.211555
213,4.1809715
216,4.150388
219,4.1198045
222,4.089221
225,4.0586375
229,4.0178595
232,3.987276
235,3.9566925
238,3.917316
241,3.8779395
245,3.8254375
248,3.786061
251,3.7466845
254,3.707308
257,3.6679315
260,3.628555
264,3.576053
267,3.5366765
270,3.4973
276,3.46278864285714
283,3.42252539285714
289,3.38801403571429
295,3.35350267857143
302,3.31323942857143
308,3.27872807142857
315,3.23846482142857
321,3.20395346428571
327,3.16944210714286
334,3.12917885714286
340,3.0946675
343,3.02478721428571
346,2.95490692857143
350,2.86173321428571
353,2.79185292857143
356,2.72197264285714
359,2.65209235714286
362,2.58221207142857
365,2.51233178571429
369,2.41915807142857
372,2.34927778571429
375,2.2793975
378,2.26090421428571
381,2.24241092857143
385,2.21775321428571
388,2.19925992857143
391,2.18076664285714
394,2.16227335714286
397,2.14378007142857
400,2.12528678571429
404,2.10062907142857
407,2.08213578571429
410,2.0636425
