Cycle,Capacity
1037,3.69607142361111
1040,3.70180652777778
1042,3.70562993055555
1044,3.70945333333333
1047,3.70008166666666
1049,3.69383388888889
1052,3.68446222222222
1055,3.67509055555555
1058,3.66571888888889
1060,3.65947111111111
1063,3.65009944444445
1066,3.64072777777778
1069,3.63135611111111
1071,3.62510833333334
1074,3.61573666666667
1077,3.60864866666667
1079,3.60392333333334
1082,3.59683533333334
1085,3.58974733333334
1088,3.58265933333334
1090,3.577934
1093,3.570846
1096,3.563758
1099,3.55667
1101,3.55194466666667
1104,3.54485666666667
