Cycle,Capacity
40,4.8624475
44,4.85518325
47,4.8497350625
51,4.8424708125
55,4.8352065625
58,4.829758375
62,4.822494125
65,4.8170459375
69,4.8097816875
73,4.8025174375
76,4.79706925
80,4.789805
84,4.783533
87,4.778829
91,4.772557
95,4.766285
98,4.761581
102,4.755309
105,4.750605
109,4.744333
113,4.738061
116,4.733357
120,4.727085
122,4.7241534
125,4.719756
127,4.7168244
129,4.7138928
131,4.7109612
134,4.7065638
136,4.7036322
138,4.7007006
140,4.697769
143,4.6933716
145,4.69044
147,4.6886966
150,4.6860815
152,4.6843381
154,4.6825947
156,4.6808513
159,4.6782362
161,4.6764928
163,4.6747494
165,4.673006
168,4.6703909
170,4.6686475
172,4.6665261
175,4.663344
177,4.6612226
179,4.6591012
181,4.6569798
184,4.6537977
186,4.6516763
188,4.6495549
190,4.6474335
193,4.6442514
195,4.64213
197,4.64022736842105
198,4.63927605263158
200,4.63737342105263
202,4.63547078947368
204,4.63356815789474
205,4.63261684210526
207,4.63071421052632
209,4.62881157894737
211,4.62690894736842
212,4.62595763157895
214,4.624055
218,4.62184214285714
223,4.61907607142857
227,4.61686321428571
232,4.61409714285714
236,4.61188428571429
241,4.60911821428571
245,4.60690535714286
250,4.60413928571429
254,4.60192642857143
259,4.59916035714286
263,4.5969475
265,4.5944593
268,4.590727
270,4.5882388
272,4.5857506
274,4.5832624
277,4.5795301
279,4.5770419
281,4.5745537
283,4.5720655
286,4.5683332
288,4.565845
290,4.5648024
293,4.5632385
295,4.5621959
297,4.5611533
299,4.5601107
302,4.5585468
304,4.5575042
306,4.5564616
308,4.555419
311,4.5538551
313,4.5528125
315,4.5517123
318,4.550062
320,4.5489618
322,4.5478616
324,4.5467614
327,4.5451111
329,4.5440109
331,4.5429107
333,4.5418105
336,4.5401602
338,4.53906
340,4.5394102
343,4.5399355
345,4.5402857
347,4.5406359
349,4.5409861
352,4.5415114
354,4.5418616
356,4.5422118
358,4.542562
361,4.5430873
363,4.5434375
365,4.5413753
368,4.538282
370,4.5362198
372,4.5341576
374,4.5320954
377,4.5290021
379,4.5269399
381,4.5248777
383,4.5228155
386,4.5197222
388,4.51766
390,4.5164974
393,4.5147535
395,4.5135909
397,4.5124283
399,4.5112657
402,4.5095218
404,4.5083592
406,4.5071966
408,4.506034
411,4.5042901
413,4.5031275
415,4.5015281
418,4.499129
420,4.4975296
422,4.4959302
424,4.4943308
427,4.4919317
429,4.4903323
431,4.4887329
433,4.4871335
436,4.4847344
438,4.483135
445,4.4819849
452,4.4808348
458,4.479849
465,4.4786989
