Cycle,Capacity
80,4.87495
87,4.8612496875
95,4.8455921875
102,4.831891875
109,4.8181915625
116,4.80449125
124,4.78883375
131,4.7751334375
138,4.761433125
145,4.7477328125
153,4.7320753125
160,4.718375
167,4.71035059375
175,4.70117984375
182,4.6931554375
189,4.68513103125
196,4.677106625
204,4.667935875
211,4.65991146875
218,4.6518870625
225,4.64386265625
233,4.63469190625
240,4.6266675
249,4.62087735
258,4.6150872
267,4.60929705
276,4.6035069
285,4.59771675
295,4.59128325
304,4.5854931
313,4.57970295
322,4.5739128
331,4.56812265
340,4.5623325
349,4.558266075
358,4.55419965
367,4.550133225
376,4.5460668
385,4.542000375
395,4.537482125
404,4.5334157
413,4.529349275
422,4.52528285
431,4.521216425
440,4.51715
449,4.514178425
458,4.51120685
467,4.508235275
476,4.5052637
485,4.502292125
495,4.498990375
504,4.4960188
513,4.493047225
522,4.49007565
531,4.487104075
540,4.4841325
546,4.48125271428571
553,4.47789296428572
559,4.47501317857143
565,4.47213339285714
572,4.46877364285714
578,4.46589385714286
585,4.46253410714286
591,4.45965432142857
597,4.45677453571429
604,4.45341478571429
610,4.450535
628,4.448406725
646,4.44627845
665,4.4440319375
683,4.4419036625
701,4.4397753875
719,4.4376471125
737,4.4355188375
755,4.4333905625
774,4.43114405
792,4.429015775
810,4.4268875
819,4.422793625
828,4.41869975
837,4.414605875
846,4.410512
855,4.406418125
865,4.401869375
874,4.3977755
883,4.393681625
892,4.38958775
901,4.385493875
910,4.3814
919,4.3795145
928,4.377629
937,4.3757435
946,4.373858
955,4.3719725
965,4.3698775
974,4.367992
983,4.3661065
992,4.364221
1001,4.3623355
1010,4.36045
1019,4.359011125
1028,4.35757225
1037,4.356133375
1046,4.3546945
1055,4.353255625
1065,4.351656875
1074,4.350218
1083,4.348779125
1092,4.34734025
1101,4.345901375
1110,4.3444625
1118,4.34401672222222
1126,4.34357094444444
1135,4.34306944444444
1143,4.34262366666667
1151,4.34217788888889
1159,4.34173211111111
1167,4.34128633333333
1175,4.34084055555556
1184,4.34033905555556
1192,4.33989327777778
1200,4.3394475
1209,4.3376511
1218,4.3358547
1227,4.3340583
1236,4.3322619
1245,4.3304655
1255,4.3284695
1264,4.3266731
1273,4.3248767
1282,4.3230803
1291,4.3212839
1300,4.3194875
1318,4.3181105
1336,4.3167335
1355,4.31528
1373,4.313903
1391,4.312526
1409,4.311149
1427,4.309772
1445,4.308395
1464,4.3069415
1482,4.3055645
1500,4.3041875
1509,4.300668725
1518,4.29714995
1527,4.293631175
1536,4.2901124
1545,4.286593625
1555,4.282683875
1564,4.2791651
1573,4.275646325
1582,4.27212755
1591,4.268608775
1600,4.26509
1609,4.26346325
1618,4.2618365
1627,4.26020975
1636,4.258583
1645,4.25695625
1655,4.25514875
1664,4.253522
1673,4.25189525
1682,4.2502685
1691,4.24864175
1700,4.247015
1709,4.2455498
1718,4.2440846
1727,4.2426194
1736,4.2411542
1745,4.239689
1755,4.238061
1764,4.2365958
1773,4.2351306
1782,4.2336654
1791,4.2322002
1800,4.230735
1809,4.229192175
1818,4.22764935
1827,4.226106525
1836,4.2245637
1845,4.223020875
1855,4.221306625
1864,4.2197638
1873,4.218220975
1882,4.21667815
1891,4.215135325
1900,4.2135925
1909,4.2135925
1918,4.2135925
1927,4.2135925
1936,4.2135925
1945,4.2135925
1955,4.2135925
1964,4.2135925
1973,4.2135925
1982,4.2135925
1991,4.2135925
2000,4.2135925
2009,4.2130093
2018,4.2124261
2027,4.2118429
2036,4.2112597
2045,4.2106765
2055,4.2100285
2064,4.2094453
2073,4.2088621
