Cycle,Capacity
40,4.87567666666667
45,4.84020966666667
49,4.81183606666667
54,4.77636906666667
58,4.74799546666667
63,4.71252846666667
67,4.68415486666667
72,4.64868786666667
76,4.62031426666667
81,4.58484726666667
85,4.55647366666667
90,4.52100666666667
95,4.394444
99,4.29319386666667
104,4.1666312
108,4.06538106666667
113,3.9388184
117,3.83756826666667
122,3.7110056
126,3.60975546666667
131,3.4831928
135,3.38194266666667
140,3.25538
145,3.20768075
149,3.16952135
154,3.1218221
158,3.0836627
163,3.03596345
167,2.99780405
172,2.9501048
176,2.9119454
181,2.86424615
185,2.82608675
190,2.7783875
