Cycle,Capacity
35,4.94516333333333
38,4.93030177083333
41,4.91544020833333
44,4.90057864583333
47,4.88571708333333
50,4.87085552083333
52,4.8609478125
55,4.84608625
58,4.8312246875
61,4.816363125
64,4.8015015625
67,4.78664
70,4.7808303125
73,4.775020625
76,4.7692109375
79,4.76340125
82,4.7575915625
84,4.7537184375
87,4.74790875
90,4.7420990625
93,4.736289375
96,4.7304796875
99,4.72467
102,4.71908375
105,4.7134975
108,4.70791125
111,4.702325
114,4.69673875
116,4.69301458333333
119,4.68742833333333
122,4.68184208333333
125,4.67625583333333
128,4.67066958333333
131,4.66508333333333
134,4.66054208333333
137,4.65600083333333
140,4.65145958333333
143,4.64691833333333
146,4.64237708333333
148,4.63934958333333
151,4.63480833333333
154,4.63026708333333
157,4.62572583333333
160,4.62118458333333
163,4.61664333333333
166,4.61104958333333
169,4.60545583333333
172,4.59986208333333
175,4.59426833333333
178,4.58867458333333
180,4.58494541666667
183,4.57935166666667
186,4.57375791666667
189,4.56816416666667
192,4.56257041666667
195,4.55697666666667
198,4.55168291666667
201,4.54638916666667
204,4.54109541666667
207,4.53580166666667
210,4.53050791666667
212,4.52697875
215,4.521685
218,4.51639125
221,4.5110975
224,4.50580375
227,4.50051
230,4.4979228125
233,4.495335625
236,4.4927484375
239,4.49016125
242,4.4875740625
244,4.48584927083333
247,4.48326208333333
250,4.48067489583333
253,4.47808770833333
256,4.47550052083333
259,4.47291333333333
262,4.46818927083333
265,4.46346520833333
268,4.45874114583333
271,4.45401708333333
274,4.44929302083333
276,4.44614364583333
279,4.44141958333333
282,4.43669552083333
285,4.43197145833333
288,4.42724739583333
291,4.42252333333333
294,4.41871333333333
297,4.41490333333333
300,4.41109333333333
303,4.40728333333333
306,4.40347333333333
308,4.40093333333333
311,4.39712333333333
314,4.39331333333333
317,4.38950333333333
320,4.38569333333333
323,4.38188333333333
326,4.37871864583333
329,4.37555395833333
332,4.37238927083333
335,4.36922458333333
338,4.36605989583333
340,4.36395010416667
343,4.36078541666667
346,4.35762072916667
349,4.35445604166667
352,4.35129135416667
355,4.34812666666667
358,4.34510791666667
361,4.34208916666667
364,4.33907041666667
367,4.33605166666667
370,4.33303291666667
372,4.33102041666667
375,4.32800166666667
378,4.32498291666667
381,4.32196416666667
384,4.31894541666667
387,4.31592666666667
390,4.31438729166667
393,4.31284791666667
396,4.31130854166667
399,4.30976916666667
402,4.30822979166667
404,4.30720354166667
407,4.30566416666667
410,4.30412479166667
413,4.30258541666667
416,4.30104604166667
419,4.29950666666667
422,4.29824541666667
425,4.29698416666667
428,4.29572291666667
431,4.29446166666667
434,4.29320041666667
436,4.29235958333333
439,4.29109833333333
442,4.28983708333333
445,4.28857583333333
448,4.28731458333333
451,4.28605333333333
454,4.28292489583333
457,4.27979645833333
460,4.27666802083333
463,4.27353958333333
466,4.27041114583333
468,4.26832552083333
471,4.26519708333333
474,4.26206864583333
477,4.25894020833333
480,4.25581177083333
483,4.25268333333333
486,4.25073645833333
489,4.24878958333333
492,4.24684270833333
495,4.24489583333333
498,4.24294895833333
500,4.24165104166667
503,4.23970416666667
506,4.23775729166667
509,4.23581041666667
512,4.23386354166667
515,4.23191666666667
518,4.23155729166667
521,4.23119791666667
524,4.23083854166667
527,4.23047916666667
530,4.23011979166667
532,4.22988020833333
535,4.22952083333333
538,4.22916145833333
541,4.22880208333333
544,4.22844270833333
547,4.22808333333333
548,4.22644688888889
550,4.223174
551,4.22153755555555
552,4.21990111111111
554,4.21662822222222
555,4.21499177777778
557,4.21171888888889
558,4.21008244444445
559,4.208446
561,4.20517311111111
562,4.20353666666667
565,4.20239229166667
568,4.20124791666667
571,4.20010354166667
574,4.19895916666667
577,4.19781479166667
579,4.197051875
582,4.1959075
585,4.194763125
588,4.19361875
591,4.192474375
594,4.19133
597,4.1886846875
600,4.186039375
603,4.1833940625
606,4.18074875
609,4.1781034375
611,4.17633989583333
614,4.17369458333333
617,4.17104927083333
620,4.16840395833333
623,4.16575864583333
626,4.16311333333333
629,4.16078895833333
632,4.15846458333333
635,4.15614020833333
638,4.15381583333333
641,4.15149145833333
643,4.149941875
646,4.1476175
649,4.145293125
652,4.14296875
655,4.140644375
658,4.13832
661,4.138348125
664,4.13837625
667,4.138404375
670,4.1384325
673,4.138460625
675,4.138479375
678,4.1385075
681,4.138535625
684,4.13856375
687,4.138591875
690,4.13862
693,4.137549375
696,4.13647875
699,4.135408125
702,4.1343375
705,4.133266875
707,4.132553125
710,4.1314825
713,4.130411875
716,4.12934125
719,4.128270625
722,4.1272
725,4.1252
728,4.1232
731,4.1212
734,4.1192
737,4.1172
739,4.11586666666667
742,4.11386666666667
745,4.11186666666667
748,4.10986666666667
751,4.10786666666667
754,4.10586666666667
757,4.10378572916667
760,4.10170479166667
763,4.09962385416667
766,4.09754291666667
769,4.09546197916667
771,4.0940746875
774,4.09199375
777,4.0899128125
780,4.087831875
783,4.0857509375
786,4.08367
789,4.082979375
792,4.08228875
795,4.081598125
798,4.0809075
801,4.080216875
803,4.07975645833333
806,4.07906583333333
809,4.07837520833333
812,4.07768458333333
815,4.07699395833333
818,4.07630333333333
821,4.07526333333333
824,4.07422333333333
827,4.07318333333333
830,4.07214333333333
833,4.07110333333333
835,4.07041
838,4.06937
841,4.06833
844,4.06729
847,4.06625
850,4.06521
853,4.0621046875
856,4.058999375
859,4.0558940625
862,4.05278875
865,4.0496834375
867,4.04761322916667
870,4.04450791666667
873,4.04140260416667
876,4.03829729166667
879,4.03519197916667
882,4.03208666666667
