Cycle,Capacity
32,4.94347
35,4.926909
37,4.91586833333333
40,4.89930733333333
43,4.88274633333333
46,4.86618533333333
48,4.85514466666667
51,4.83858366666667
54,4.82202266666667
57,4.80546166666667
59,4.794421
62,4.77786
65,4.770887109375
68,4.76391421875
71,4.756941328125
74,4.7499684375
77,4.742995546875
79,4.738346953125
82,4.7313740625
85,4.724401171875
88,4.71742828125
91,4.710455390625
94,4.7034825
97,4.6950095
99,4.68936083333333
102,4.68088783333333
105,4.67241483333333
108,4.66394183333333
110,4.65829316666667
113,4.64982016666667
116,4.64134716666667
119,4.63287416666667
121,4.6272255
124,4.6187525
127,4.61258725
129,4.60847708333333
132,4.60231183333333
135,4.59614658333333
138,4.58998133333333
140,4.58587116666667
143,4.57970591666667
146,4.57354066666667
149,4.56737541666667
151,4.56326525
154,4.5571
157,4.550597
159,4.54626166666667
162,4.53975866666667
165,4.53325566666667
168,4.52675266666667
170,4.52241733333333
173,4.51591433333333
176,4.50941133333333
179,4.50290833333333
181,4.498573
184,4.49207
187,4.48639675
189,4.48261458333333
192,4.47694133333333
195,4.47126808333333
198,4.46559483333333
200,4.46181266666667
203,4.45613941666667
206,4.45046616666667
209,4.44479291666667
211,4.44101075
214,4.4353375
217,4.43429125
219,4.43359375
222,4.4325475
225,4.43150125
228,4.430455
230,4.4297575
233,4.42871125
236,4.427665
239,4.42661875
241,4.42592125
244,4.424875
247,4.419095
249,4.41524166666667
252,4.40946166666667
255,4.40368166666667
258,4.39790166666667
260,4.39404833333333
263,4.38826833333333
266,4.38248833333333
269,4.37670833333333
271,4.372855
274,4.367075
277,4.36293875
279,4.36018125
282,4.356045
285,4.35190875
288,4.3477725
290,4.345015
293,4.34087875
296,4.3367425
299,4.33260625
301,4.32984875
304,4.3257125
307,4.32212725
309,4.31973708333333
312,4.31615183333333
315,4.31256658333333
318,4.30898133333333
320,4.30659116666667
323,4.30300591666667
326,4.29942066666667
329,4.29583541666667
331,4.29344525
334,4.28986
337,4.28661275
339,4.28444791666667
342,4.28120066666667
345,4.27795341666667
348,4.27470616666667
350,4.27254133333333
353,4.26929408333333
356,4.26604683333333
359,4.26279958333333
361,4.26063475
364,4.2573875
367,4.255618
369,4.25443833333333
372,4.25266883333333
375,4.25089933333333
378,4.24912983333333
380,4.24795016666667
383,4.24618066666667
386,4.24441116666667
389,4.24264166666667
391,4.241462
394,4.2396925
397,4.23899275
399,4.23852625
402,4.2378265
405,4.23712675
408,4.236427
410,4.2359605
413,4.23526075
416,4.234561
419,4.23386125
421,4.23339475
424,4.232695
427,4.227759
429,4.22446833333333
432,4.21953233333333
435,4.21459633333333
438,4.20966033333333
440,4.20636966666667
443,4.20143366666667
446,4.19649766666667
449,4.19156166666667
451,4.188271
454,4.183335
457,4.181812
459,4.18079666666667
462,4.17927366666667
465,4.17775066666667
468,4.17622766666667
470,4.17521233333333
473,4.17368933333333
476,4.17216633333333
479,4.17064333333333
481,4.169628
484,4.168105
487,4.17103775
489,4.17299291666667
492,4.17592566666667
495,4.17885841666667
498,4.18179116666667
500,4.18374633333333
503,4.18667908333333
506,4.18961183333333
509,4.19254458333333
511,4.19449975
514,4.1974325
517,4.19110425
519,4.18688541666667
522,4.18055716666667
525,4.17422891666667
528,4.16790066666667
530,4.16368183333333
533,4.15735358333333
536,4.15102533333333
539,4.14469708333333
541,4.14047825
544,4.13415
547,4.1302385
549,4.12763083333333
552,4.12371933333333
555,4.11980783333333
558,4.11589633333333
560,4.11328866666667
563,4.10937716666667
566,4.10546566666667
569,4.10155416666667
571,4.0989465
574,4.095035
577,4.09294275
579,4.09154791666667
582,4.08945566666667
585,4.08736341666667
588,4.08527116666667
590,4.08387633333333
593,4.08178408333333
596,4.07969183333333
599,4.07759958333333
601,4.07620475
604,4.0741125
607,4.074736
609,4.07515166666667
612,4.07577516666667
615,4.07639866666667
618,4.07702216666667
620,4.07743783333333
623,4.07806133333333
626,4.07868483333333
629,4.07930833333333
631,4.079724
634,4.0803475
637,4.079704
639,4.079275
642,4.0786315
645,4.077988
648,4.0773445
650,4.0769155
653,4.076272
656,4.0756285
659,4.074985
661,4.074556
664,4.0739125
667,4.07211175
669,4.07091125
672,4.0691105
675,4.06730975
678,4.065509
680,4.0643085
683,4.06250775
686,4.060707
689,4.05890625
691,4.05770575
694,4.055905
697,4.05275775
699,4.05065958333333
702,4.04751233333333
705,4.04436508333333
708,4.04121783333333
710,4.03911966666667
713,4.03597241666667
716,4.03282516666667
719,4.02967791666667
721,4.02757975
724,4.0244325
729,4.02160458333333
735,4.01821108333333
740,4.01538316666667
746,4.01198966666667
751,4.00916175
757,4.00576825
762,4.00294033333333
768,3.99954683333333
773,3.99671891666667
779,3.99332541666667
784,3.9904975
787,3.98905925
789,3.98810041666667
792,3.98666216666667
795,3.98522391666667
798,3.98378566666667
800,3.98282683333333
803,3.98138858333333
806,3.97995033333333
809,3.97851208333333
811,3.97755325
814,3.976115
817,3.9715655
819,3.9685325
822,3.963983
825,3.9594335
828,3.954884
830,3.951851
833,3.9473015
836,3.942752
839,3.9382025
841,3.9351695
844,3.93062
847,3.92770025
849,3.92575375
852,3.922834
855,3.91991425
858,3.9169945
860,3.915048
863,3.91212825
866,3.9092085
869,3.90628875
871,3.90434225
874,3.9014225
877,3.9073905
879,3.91136916666667
882,3.91733716666667
885,3.92330516666667
888,3.92927316666667
890,3.93325183333333
893,3.93921983333333
896,3.94518783333333
899,3.95115583333333
901,3.9551345
904,3.9611025
907,3.95465675
909,3.95035958333333
912,3.94391383333333
915,3.93746808333333
918,3.93102233333333
920,3.92672516666667
923,3.92027941666667
926,3.91383366666667
929,3.90738791666667
931,3.90309075
934,3.896645
937,3.895997
939,3.895565
942,3.894917
945,3.894269
948,3.893621
950,3.893189
953,3.892541
956,3.891893
959,3.891245
961,3.890813
964,3.890165
967,3.882465
969,3.87733166666667
972,3.86963166666667
975,3.86193166666667
978,3.85423166666667
980,3.84909833333333
983,3.84139833333333
986,3.83369833333333
989,3.82599833333333
991,3.820865
994,3.813165
997,3.81424075
999,3.81495791666667
1002,3.81603366666667
1005,3.81710941666667
1008,3.81818516666667
1010,3.81890233333333
1013,3.81997808333333
1016,3.82105383333333
1019,3.82212958333333
1021,3.82284675
1024,3.8239225
