Cycle,Capacity
25,4.947175
27,4.9340618
30,4.914392
32,4.9012788
34,4.8881656
36,4.8750524
39,4.8553826
41,4.8422694
43,4.8291562
45,4.816043
48,4.7963732
50,4.78326
52,4.7769286
55,4.7674315
57,4.7611001
59,4.7547687
61,4.7484373
64,4.7389402
66,4.7326088
68,4.7262774
70,4.719946
73,4.7104489
75,4.7041175
77,4.6981227
80,4.6891305
82,4.6831357
84,4.6771409
86,4.6711461
89,4.6621539
91,4.6561591
93,4.6501643
95,4.6441695
98,4.6351773
100,4.6291825
102,4.6230123
105,4.613757
107,4.6075868
109,4.6014166
111,4.5952464
114,4.5859911
116,4.5798209
118,4.5736507
120,4.5674805
123,4.5582252
125,4.552055
127,4.5422134
130,4.527451
132,4.5176094
134,4.5077678
136,4.4979262
139,4.4831638
141,4.4733222
143,4.4634806
145,4.453639
148,4.4388766
150,4.429035
152,4.4141
155,4.3916975
157,4.3767625
159,4.3618275
161,4.3468925
164,4.32449
166,4.309555
168,4.29462
170,4.279685
173,4.2572825
175,4.2423475
177,4.2269689
180,4.203901
182,4.1885224
184,4.1731438
186,4.1577652
189,4.1346973
191,4.1193187
193,4.1039401
195,4.0885615
198,4.0654936
200,4.050115
202,4.0226108
205,3.9813545
207,3.9538503
209,3.9263461
211,3.8988419
214,3.8575856
216,3.8300814
218,3.8025772
220,3.775073
223,3.7338167
225,3.7063125
227,3.6712537
230,3.6186655
232,3.5836067
234,3.5485479
236,3.5134891
239,3.4609009
241,3.4258421
243,3.3907833
245,3.3557245
248,3.3031363
250,3.2680775
252,3.2256763
255,3.1620745
257,3.1196733
259,3.0772721
261,3.0348709
264,2.9712691
266,2.9288679
268,2.8864667
270,2.8440655
273,2.7804637
275,2.7380625
