Cycle,TimeCurrentTimetable_sigstats_ClearanceFactor,TimeCurrentTimetable_sigstats_CrestFactor,TimeCurrentTimetable_sigstats_ImpulseFactor,TimeCurrentTimetable_sigstats_Kurtosis,TimeCurrentTimetable_sigstats_Mean,TimeVoltageTimetable_sigstats_PeakValue_FeatureTableC12,TimeCurrentTimetable_sigstats_RMS,TimeCurrentTimetable_sigstats_SINAD,TimeCurrentTimetable_sigstats_SNR,TimeCurrentTimetable_sigstats_ShapeFactor,TimeCurrentTimetable_sigstats_Skewness,TimeCurrentTimetable_sigstats_Std,TimeVoltageTimetable_sigstats_ClearanceFactor,TimeVoltageTimetable_sigstats_CrestFactor,TimeVoltageTimetable_sigstats_ImpulseFactor,TimeVoltageTimetable_sigstats_Kurtosis,TimeVoltageTimetable_sigstats_Mean,TimeVoltageTimetable_sigstats_PeakValue_FeatureTableV12,TimeVoltageTimetable_sigstats_RMS,TimeVoltageTimetable_sigstats_SINAD,TimeVoltageTimetable_sigstats_SNR,TimeVoltageTimetable_sigstats_ShapeFactor,TimeVoltageTimetable_sigstats_Skewness,TimeVoltageTimetable_sigstats_Std
25,1.20814162923082,1.10467014975238,1.15838310899226,4.48938565132761,2.15833602941176,2.50018,2.26328194036966,-6.27617154527286,-6.07587154576198,1.0486235273506,-1.74689449011825,0.682034346920867,1.1000028315915,1.09368024729644,1.09783914303761,2.46692199034698,3.82571529411765,4.20002,3.84026319427675,39.9208955673828,39.9208955673828,1.00380266147391,-0.608420955957801,0.334361935844868
27,1.21970803118556,1.10926470754593,1.16642033110967,4.33476359201589,2.20810101672174,2.5801736,2.323168949432,-5.89657585189713,-5.70604767673215,1.05139373201325,-1.69866550318261,0.720234345105819,1.0992732762732,1.09292794178307,1.09710081162024,2.47369525408628,3.82831002115004,4.20002,3.84292769116909,36.9184747845186,36.9184747845186,1.00381818782748,-0.620738092536303,0.335274839185838
30,1.23705763411766,1.11615654423626,1.17847616428579,4.1028305030483,2.28274849768671,2.700164,2.41299946302551,-5.32718231183353,-5.1513118731874,1.05554903900724,-1.62632202277916,0.777534342383248,1.09817894329576,1.09179948351301,1.09599331449419,2.48385514969524,3.83220211169861,4.20002,3.84692443650761,32.4148436102223,32.4148436102223,1.00384147735784,-0.639213797404056,0.336644194197293
32,1.2486240360724,1.12075110202982,1.1865133864032,3.94820844373658,2.33251348499669,2.7801576,2.47288647208784,-4.94758661845779,-4.78148800415757,1.05831924366989,-1.57809303584352,0.8157343405682,1.09744938797746,1.09104717799963,1.09525498307682,2.49062841343454,3.834796838731,4.20002,3.84958893339996,29.4124228273581,29.4124228273581,1.00385700371141,-0.651530933982558,0.337557097538263
34,1.26019043802713,1.12534565982337,1.19455060852062,3.79358638442486,2.38227847230667,2.8601512,2.53277348115018,-4.56799092508206,-4.41166413512774,1.06108944833254,-1.52986404890788,0.853934338753152,1.09671983265917,1.09029487248626,1.09451665165945,2.49740167717384,3.83739156576339,4.20002,3.8522534302923,26.4100020444939,26.4100020444939,1.00387253006498,-0.66384807056106,0.338470000879233
36,1.27175683998187,1.12994021761692,1.20258783063803,3.63896432511314,2.43204345961665,2.9401448,2.59266049021252,-4.18839523170633,-4.04184026609791,1.0638596529952,-1.48163506197225,0.892134336938104,1.09599027734087,1.08954256697289,1.09377832024208,2.50417494091315,3.83998629279577,4.20002,3.85491792718465,23.4075812616298,23.4075812616298,1.00388805641856,-0.676165207139562,0.339382904220203
39,1.28910644291397,1.13683205430726,1.21464366381415,3.40703123614555,2.50669094058163,3.0601352,2.68249100380603,-3.61900169164273,-3.48710446255316,1.06801495998918,-1.40929158156879,0.949434334215533,1.09489594436343,1.08841410870282,1.09267082311603,2.5143348365221,3.84387838334435,4.20002,3.85891467252316,18.9039500873335,18.9039500873335,1.00391134594891,-0.694640912007315,0.340752259231659
41,1.30067284486871,1.14142661210081,1.22268088593156,3.25240917683383,2.55645592789161,3.1401288,2.74237801286837,-3.239405998267,-3.11728059352333,1.07078516465184,-1.36106259463316,0.987634332400485,1.09416638904513,1.08766180318945,1.09193249169866,2.52110810026141,3.84647311037673,4.20002,3.86157916941551,15.9015293044693,15.9015293044693,1.00392687230249,-0.706958048585817,0.341665162572629
43,1.31223924682344,1.14602116989436,1.23071810804898,3.09778711752211,2.60622091520159,3.2201224,2.80226502193071,-2.85981030489127,-2.7474567244935,1.07355536931449,-1.31283360769752,1.02583433058544,1.09343683372684,1.08690949767608,1.09119416028129,2.52788136400071,3.84906783740912,4.20002,3.86424366630785,12.8991085216051,12.8991085216051,1.00394239865606,-0.719275185164319,0.342578065913599
45,1.32380564877818,1.15061572768792,1.23875533016639,2.94316505821039,2.65598590251157,3.300116,2.86215203099304,-2.48021461151553,-2.37763285546367,1.07632557397714,-1.26460462076188,1.06403432877039,1.09270727840854,1.0861571921627,1.09045582886392,2.53465462774001,3.85166256444151,4.20002,3.8669081632002,9.89668773874089,9.89668773874089,1.00395792500963,-0.731592321742821,0.343490969254569
