Cycle,TimeCurrentTimetable_sigstats_ClearanceFactor,TimeCurrentTimetable_sigstats_CrestFactor,TimeCurrentTimetable_sigstats_ImpulseFactor,TimeCurrentTimetable_sigstats_Kurtosis,TimeCurrentTimetable_sigstats_Mean,TimeCurrentTimetable_sigstats_PeakValue,TimeCurrentTimetable_sigstats_RMS,TimeCurrentTimetable_sigstats_SINAD,TimeCurrentTimetable_sigstats_SNR,TimeCurrentTimetable_sigstats_ShapeFactor,TimeCurrentTimetable_sigstats_Skewness,TimeCurrentTimetable_sigstats_Std,TimeVoltageTimetable_sigstats_ClearanceFactor,TimeVoltageTimetable_sigstats_CrestFactor,TimeVoltageTimetable_sigstats_ImpulseFactor,TimeVoltageTimetable_sigstats_Kurtosis,TimeVoltageTimetable_sigstats_Mean,TimeVoltageTimetable_sigstats_PeakValue,TimeVoltageTimetable_sigstats_RMS,TimeVoltageTimetable_sigstats_SINAD,TimeVoltageTimetable_sigstats_SNR,TimeVoltageTimetable_sigstats_ShapeFactor,TimeVoltageTimetable_sigstats_Skewness,TimeVoltageTimetable_sigstats_Std
80,1.1942149911071,1.10708578894631,1.1538263021167,4.4502026684396,1.30002236666667,1.5,1.35490854907247,-2.08496995581819,-1.8377903466364,1.04221941392173,-1.71490805138245,0.382369424910544,1.0464045774073,1.04481039745291,1.04586650623483,2.40670222726717,4.015828,4.20002,4.01988725441382,-0.432743880375302,-0.132151225985844,1.0010108138132,-0.686127038729016,0.180909110611769
87,1.19736850576091,1.10883232581879,1.15634150627722,4.38106916113949,1.29725735695176,1.5,1.35280890336312,-2.38331759430824,-2.15186858653358,1.04283600756137,-1.69454227227022,0.384243716243083,1.04579093368506,1.04421937169336,1.04526044589793,2.4361956750693,4.0181706125,4.20002,4.02217601083536,0.164699834461286,0.438990631591666,1.00099690592877,-0.701390498718263,0.179710766467665
95,1.20097252250812,1.11082836795877,1.1592160253178,4.3020594385108,1.294097345849,1.5,1.35040930826671,-2.72428632401115,-2.51081514641607,1.04354068600668,-1.67126709614196,0.38638576348027,1.04508962657392,1.04354391368244,1.04456780551291,2.46990247255745,4.02084788392857,4.20002,4.02479173245998,0.847492651417386,1.09172418310882,1.0009810112037,-0.718834452991689,0.178341230302974
102,1.20412603716192,1.11257490483125,1.16173122947832,4.2329259312107,1.29133233613409,1.5,1.34830966255736,-3.02263396250119,-2.82489338631325,1.04415727964633,-1.65090131702973,0.388260054812809,1.04447598285168,1.04295288792288,1.04396174517601,2.49939592035957,4.02319049642857,4.20002,4.02708048888152,1.44493636625397,1.66286604068633,1.00096710331927,-0.734097912980936,0.17714288615887
109,1.20727955181573,1.11432144170373,1.16424643363883,4.16379242391059,1.28856732641918,1.5,1.34621001684801,-3.32098160099124,-3.13897162621043,1.04477387328597,-1.6305355379175,0.390134346145348,1.04386233912943,1.04236186216333,1.04335568483912,2.5288893681617,4.02553310892857,4.20002,4.02936924530306,2.04238008109056,2.23400789826384,1.00095319543484,-0.749361372970183,0.175944542014766
116,1.21043306646954,1.11606797857622,1.16676163779935,4.09465891661049,1.28580231670426,1.5,1.34411037113866,-3.61932923948129,-3.45304986610761,1.04539046692562,-1.61016975880527,0.392008637477887,1.04324869540719,1.04177083640377,1.04274962450222,2.55838281596383,4.02787572142857,4.20002,4.0316580017246,2.63982379592715,2.80514975584135,1.00093928755041,-0.764624832959431,0.174746197870661
124,1.21403708321675,1.11806402071619,1.16963615683994,4.01564919398179,1.28264230560151,1.5,1.34171077604225,-3.9602979691842,-3.8119964259901,1.04609514537092,-1.58689458267701,0.394150684715075,1.04254738829605,1.04109537839286,1.0420569841172,2.59208961345198,4.03055299285714,4.20002,4.03427372334921,3.32261661288325,3.45788330735851,1.00092339282535,-0.782068787232856,0.173376661705971
131,1.21719059787056,1.11981055758868,1.17215136100045,3.94651568668169,1.27987729588659,1.5,1.3396111303329,-4.25864560767424,-4.12607466588727,1.04671173901057,-1.56652880356478,0.396024976047614,1.04193374457381,1.0405043526333,1.0414509237803,2.62158306125411,4.03289560535714,4.20002,4.03656247977075,3.92006032771984,4.02902516493601,1.00090948494092,-0.797332247222104,0.172178317561866
138,1.22034411252437,1.12155709446116,1.17466656516097,3.87738217938158,1.27711228617168,1.5,1.33751148462355,-4.55699324616429,-4.44015290578445,1.04732833265021,-1.54616302445255,0.397899267380153,1.04132010085156,1.03991332687375,1.04084486344341,2.65107650905624,4.03523821785714,4.20002,4.03885123619229,4.51750404255642,4.60016702251353,1.00089557705649,-0.812595707211351,0.170979973417762
145,1.22349762717817,1.12330363133364,1.17718176932149,3.80824867208148,1.27434727645677,1.5,1.3354118389142,-4.85534088465433,-4.75423114568163,1.04794492628986,-1.52579724534032,0.399773558712692,1.04070645712932,1.03932230111419,1.04023880310651,2.68056995685836,4.03758083035714,4.20002,4.04113999261383,5.11494775739301,5.17130888009103,1.00088166917206,-0.827859167200598,0.169781629273658
